STOCK EXCHANGE,EBIT,EBITDA,TOTAL EQUITY/TOTAL ASSETS,EPS,CASH/TOTAL CURRENT ASSETS,TOTAL CURRENT ASSET/TOTAL ASSET,LONG-TERM ASSETS/TOTAL ASSETS,QUICK RATIO,Market Value of Total Equity / Book Values of Total Liabilities,Sales/Total Assets,EBIT/Total Assets,Retain Earnings/Total Assets,Working Capitals/Total Asset,ROIC,TARGET,probabilities
0,56147100.0,92780556.0,66.34,5242.46,59.44,46.92,53.08,1.35,2.65818669197078,1.43078422742174,0.000151629708109587,0.000410597476015927,0.000159281689442736,17.1,0,0.7309967
1,1103203692.0,1634828217.0,40.94,400002.0,24.18,22.38,77.62,0.75,1.11153542927269,0.291200124973896,9.11127225519947e-05,0.000185708282017938,2.73731173702485e-05,9.14,0,0.7309967
0,1936282.0,3199969.0,48.54,727.74,6.94,95.34,4.66,1.42,0.991775643812052,1.90689322401616,1.70000970171974e-05,0.000220374272010069,0.000438813826670699,2.35,0,0.7309967
1,19630276.0,43897018.0,63.57,120.41,12.99,53.96,46.04,1.19,0.768643918967429,0.548013162708443,2.1771505379458e-05,0.000464372754321971,0.00017522604080461,2.19,0,0.7309967
0,50511976.0,61005850.0,62.46,257.38,2.35,91.4,8.6,1.54,0.856060864508994,0.941658411268319,3.80689472784933e-05,2.87717774465182e-05,0.000552240808587781,2.74,0,0.7309967
0,3926886.0,11087706.0,96.55,135.64,12.25,51.26,48.74,20.13,19.2152155355763,0.388535438013375,2.58237521950528e-05,5.80158120849764e-05,0.000488000574608911,2.09,0,0.7309967
0,28635043.0,36246131.0,37.69,-44891.0,3.79,87.65,12.35,0.32,1.35445500500388,1.87304365658976,7.10812286445536e-05,0.000213659694808776,0.000265674062248567,5.73,0,0.7309967
0,132263357.0,145316604.0,90.7,10584.01,31.62,87.63,12.37,8.28,29.0162164022256,2.09565874861053,0.000452687218973402,0.000561854588193573,0.000783457542035887,46.38,0,0.7309967
1,640249924.0,787332363.0,37.15,7366.52,4.44,64.81,35.19,0.27,1.60698858126031,2.63207592861089,0.000164918078998495,0.000139536260447088,8.04459316009875e-05,14.94,0,0.7309967
1,31735412.0,34027338.0,33.81,1645.73,7.55,61.44,38.56,13.64,0.896286622260452,0.542583224977903,4.05034536991032e-05,6.28280638575514e-05,0.00057000547520963,8.09,0,0.7309967
0,19139092.0,24433134.0,90.57,569.26,38.27,12.16,87.84,2.2,9.37026807277313,0.467005097165076,6.22827350346554e-05,9.55672769915053e-05,6.74294627672565e-05,5.21,0,0.7309967
1,83428907.0,93383570.0,18.39,775.13,7.58,89.49,10.51,1.13,0.285208973611234,0.655685240812809,4.40440141509658e-05,4.00087662235202e-05,0.000265544513910599,4.72,0,0.7309967
0,358607975.0,480930411.0,76.75,-288481.0,12.13,46.85,53.15,4.58,5.33676777451815,0.56099689186651,0.000162822807851668,0.000318129819379596,0.000368243709886563,14.77,0,0.7309967
0,241708362.0,318234809.0,66.18,756.71,20.24,61.02,38.98,1.81,3.66651495752005,0.147908313167913,2.56557342047569e-05,8.50272727127063e-05,0.000346996546372074,3.03,0,0.7309967
0,712567.0,712567.0,81.25,127.01,56.71,21.98,78.02,1.17,2.37696122656986,1.13202780826916,8.60635209003962e-06,8.17598798541127e-05,3.22402647594445e-05,0.68,0,0.7309967
1,441198975.0,666048654.0,65.35,2365.37,19.76,19.31,80.69,1.31,3.61445137123823,0.296974101013943,0.000148658895139786,0.00015849562721653,4.73217431556489e-05,14.54,0,0.7309967
1,17899230.0,18875453.0,22.7,253.99,0.1,69.68,30.32,0.82,0.357439274233744,0.0894172163570615,2.41992599056784e-05,-0.000382756212721588,-7.62847726252494e-05,5.17,0,0.7309967
1,1835437243.0,2495165984.0,25.62,80.96,17.07,20.98,79.02,0.78,0.222531100562451,0.0961145754286116,5.52096381754017e-05,8.28509210694158e-05,-3.65803990687448e-05,5.58,0,0.7309967
0,9534228.0,13262179.0,39.03,274.79,8.89,93.38,6.62,1.19,1.53431555610554,1.14382979486224,4.32094750518333e-05,1.10971687124846e-05,0.00034187877362042,6.74,0,0.7309967
1,237374641.0,248102083.0,45564.0,1146.84,1.14,80.32,19.68,0.53,0.61389278279576,0.273864096585585,4.96434684720845e-05,7.27917600024108e-05,0.000432876026737153,6.13,0,0.7309967
0,3043312.0,8278112.0,52.06,633.67,35.84,67.93,32.07,1.32,0.715561832218994,5.32945051102826,2.00151817417764e-05,0.000104446755208815,0.00019996641152166,3.06,0,0.7309967
1,196586581.0,216030644.0,55.88,4809.23,1.91,92.72,7.28,0.52,1.42375663128905,1.89617347060245,0.000125470661234651,0.000350189217645995,0.000486406925021415,13.62,0,0.7309967
